Heading																				
FIELD_DELIM	TABS																			
VIDEO_FORMAT	1080																			
FPS	23.976																			
AUDIO_FORMAT	48kHz																			
FILM_FORMAT	"35mm,4perf"																			
																				
Column																				
Name	Tape	Tracks	Start	End	Duration	ASC_SOP	ASC_SAT	Scene	Take	Shoot Date	Camera	Camroll	COMMENTS	Soundroll	UNC	UNC First Frame	UNC Last Frame	Description	Day	VT Number
																				
Data																				
TIMELAPSE-1E	E006C001_14062713	VA1	00:00:41:20	00:01:04:15	00:00:22:19			TIMELAPSE	1	6/27/14	E	E006	ROOF TIMELAPSE @ WYNN	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_E/E6/Clip/E006C001_14062713/E006C001_14062713.mxf	0	547	WS ENCORE HOTEL EXTERIOR: TIMELAPSE	48	VT067
E007-1NGE	E007C001_140628PA	VA1	00:01:04:15	00:01:07:18	00:00:03:03			E007	1NG	6/28/14	E	E007	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_E/E7/Clip/E007C001_140628PA/E007C001_140628PA.mxf	0	75	FALSE START	48	VT067
E007-2NGE	E007C002_140628RZ	VA1	18:34:50:21	18:34:51:20	00:00:00:23			E007	2NG	6/28/14	E	E007	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_E/E7/Clip/E007C002_140628RZ/E007C002_140628RZ.mxf	0	23	FALSE START	48	VT067
E007-3NGE	E007C003_140628O5	VA1	18:34:53:10	18:34:58:18	00:00:05:08			E007	3NG	6/28/14	E	E007	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_E/E7/Clip/E007C003_140628O5/E007C003_140628O5.mxf	0	128	FALSE START	48	VT067
LEREVE1-1E	E007C004_140628MP	VA1	19:05:40:15	19:25:36:02	00:19:55:11			LEREVE1	1	6/28/14	E	E007	TAIL ID NO STICKS	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_E/E7/Clip/E007C004_140628MP/E007C004_140628MP.mxf	0	28691	WS LE REVE SHOW: BEGINNING	48	VT067
LEREVE1-2E	E008C001_140628WX	VA1	19:26:27:14	19:56:33:19	00:30:06:05	(0.98997 0.98997 0.98997)(0.01002 0.01002 0.01002)(1.0 1.0 1.0)		LEREVE1	2	6/28/14	E	E008		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_E/E8/Clip/E008C001_140628WX/E008C001_140628WX.mxf	0	43349	WS LE REVE SHOW: NEXT 30MINS OF SHOW	48	VT067
LEREVE1-2_1E	E008C002_140628RT	VA1	19:56:37:05	19:56:54:20	00:00:17:15	(0.98997 0.98997 0.98997)(0.01002 0.01002 0.01002)(1.0 1.0 1.0)		LEREVE1	2_1	6/28/14	E	E008		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_E/E8/Clip/E008C002_140628RT/E008C002_140628RT.mxf	0	423	MWS LE REVE: RED DANCERS	48	VT067
LEREVE1-3E	E009C001_140628YI	VA1	19:59:10:21	20:28:47:01	00:29:36:04			LEREVE1	3	6/28/14	E	E009		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_F/E9/Clip/E009C001_140628YI/E009C001_140628YI.mxf	0	42628	WS TO MWS LE REVE SHOW: NEXT 30MINS OF SHOW TO THE END	48	VT067
E009-1NGE	E009C002_140628GG	VA1	20:28:54:12	20:28:57:21	00:00:03:09			E009	1NG	6/28/14	E	E009	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_F/E9/Clip/E009C002_140628GG/E009C002_140628GG.mxf	0	81	FALSE START	48	VT067
E009-2NGE	E009C003_1406283B	VA1	20:28:58:22	20:29:13:16	00:00:14:18			E009	2NG	6/28/14	E	E009	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_F/E9/Clip/E009C003_1406283B/E009C003_1406283B.mxf	0	354	FALSE START	48	VT067
E010-1NGE	E010C001_140628LX	VA1	20:32:05:22	20:32:11:08	00:00:05:10			E010	1NG	6/28/14	E	E010	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_C/E10/Clip/E010C001_140628LX/E010C001_140628LX.mxf	0	130	FALSE START	48	VT067
E010-2NGE	E010C002_140628W2	VA1	21:09:13:19	21:09:18:01	00:00:04:06			E010	2NG	6/28/14	E	E010	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_C/E10/Clip/E010C002_140628W2/E010C002_140628W2.mxf	0	102	FALSE START	48	VT067
E010-3NGE	E010C003_140628HU	VA1	21:16:52:01	21:16:55:04	00:00:03:03			E010	3NG	6/28/14	E	E010	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_C/E10/Clip/E010C003_140628HU/E010C003_140628HU.mxf	0	75	FALSE START	48	VT067
LEREVE2-1E	E010C004_140628LD	VA1	21:35:15:19	21:59:58:23	00:24:43:04			LEREVE2	1	6/28/14	E	E010		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_C/E10/Clip/E010C004_140628LD/E010C004_140628LD.mxf	0	35596	MWS AND MS LE REVE: BEGINNING OF SHOW WITH PANS	48	VT067
LEREVE2-2E	E011C001_1406288D	VA1	22:01:18:10	22:28:56:13	00:27:38:03			LEREVE2	2	6/28/14	E	E011		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_C/E11/Clip/E011C001_1406288D/E011C001_1406288D.mxf	0	39795	MWS AND MS LE REVE: NEXT 30 MINS OF SHOW WITH PANS	48	VT067
LEREVE2-2_1E	E011C002_140628UA	VA1	22:29:00:01	22:29:04:22	00:00:04:21			LEREVE2	2_1	6/28/14	E	E011		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_C/E11/Clip/E011C002_140628UA/E011C002_140628UA.mxf	0	117	FALSE START	48	VT067
LEREVE2-3E	E012C001_140628DX	VA1	22:29:35:05	22:53:29:18	00:23:54:13			LEREVE2	3	6/28/14	E	E012		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_B/D48A_062814/E12/Clip/E012C001_140628DX/E012C001_140628DX.mxf	0	34429	"MWS AND MS LE REVE: NEXT 30 MINS OF SHOW TO END, CROWD CLAPPING"	48	VT067
