Heading																				
FIELD_DELIM	TABS																			
VIDEO_FORMAT	1080																			
FPS	23.976																			
AUDIO_FORMAT	48kHz																			
FILM_FORMAT	"35mm,4perf"																			
																				
Column																				
Name	Tape	Tracks	Start	End	Duration	ASC_SOP	ASC_SAT	Scene	Take	Shoot Date	Camera	Camroll	COMMENTS	Soundroll	UNC	UNC First Frame	UNC Last Frame	Description	Day	VT Number
																				
Data																				
F005-1NGF	F005C001_1406285W	VA1	18:35:02:14	18:35:10:00	00:00:07:10	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		F005	1NG	6/28/14	F	F005	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_D/F5/Clip/F005C001_1406285W/F005C001_1406285W.mxf	0	178	FALSE START	48	VT068
LEREV1-1F	F005C002_1406285N	VA1	19:05:35:14	19:30:26:04	00:24:50:14	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		LEREV1	1	6/28/14	F	F005		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_D/F5/Clip/F005C002_1406285N/F005C002_1406285N.mxf	0	35774	MWS LE REVE: FROM BEGINNING	48	VT068
F006-1NGF	C007C001_140623KJ	VA1	00:00:00:00	00:00:06:13	00:00:06:13	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		F006	1NG	6/28/14	F	F006	CARD FORMATTED INCORRECTLY	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_D/F6/Clip/C007C001_140623KJ/C007C001_140623KJ.mxf	0	157	FALSE START	48	VT068
LEREV1-2F	C007C002_140628OG	VA1	19:31:27:13	19:44:04:00	00:12:36:11	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		LEREV1	2	6/28/14	F	F006	CARD FORMATTED INCORRECTLY	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_D/F6/Clip/C007C002_140628OG/C007C002_140628OG.mxf	0	18155	MWS LE REVE	48	VT068
LEREV1-2_1F	C007C003_140628GR	VA1	19:44:09:18	19:44:34:10	00:00:24:16	(1.0378 1.0378 1.0378)(0.01405 0.01405 0.01405)(1.0 1.0 1.0)		LEREV1	2_1	6/28/14	F	F006	CARD FORMATTED INCORRECTLY	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_D/F6/Clip/C007C003_140628GR/C007C003_140628GR.mxf	0	592	MS LA REVE: AUDIENCE 	48	VT068
LEREV1-2_2F	C008C001_140628E2	VA1	19:44:52:00	20:13:02:23	00:28:10:23	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		LEREV1	2_2	6/28/14	F	F007	CARD FORMATTED INCORRECTLY	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_D/F7/Clip/C008C001_140628E2/C008C001_140628E2.mxf	0	40583	MWS LE REVE	48	VT068
F007-1NGF	C008C002_140628KP	VA1	20:13:05:18	20:13:14:08	00:00:08:14	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		F007	1NG	6/28/14	F	F007	CARD FORMATTED INCORRECTLY	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_D/F7/Clip/C008C002_140628KP/C008C002_140628KP.mxf	0	206	FALSE START	48	VT068
LEREV1-3F	C009C001_1406280S	VA1	20:13:40:01	20:25:20:09	00:11:40:08	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		LEREV1	3	6/28/14	F	F008	CARD FORMATTED INCORRECTLY	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F8/Clip/C009C001_1406280S/C009C001_1406280S.mxf	0	16808	MWS LE REVE: TO END OF SHOW	48	VT068
LEREV2-1SLATEF	C009C002_140628J8	VA1	20:46:00:22	20:46:05:19	00:00:04:21	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		LEREV2	1SLATE	6/28/14	F	F008	CARD FORMATTED INCORRECTLY	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F8/Clip/C009C002_140628J8/C009C002_140628J8.mxf	0	117	SLATE	48	VT068
LEREV2-1F	C009C003_140628WK	VA1	21:35:07:05	21:52:11:07	00:17:04:02	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		LEREV2	1	6/28/14	F	F008	CARD FORMATTED INCORRECTLY	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F8/Clip/C009C003_140628WK/C009C003_140628WK.mxf	0	24578	"MS LA REVE: FROM THE BEGINNING, AND AUDIENCE "	48	VT068
LEREV2-1_1F	C010C001_140628IE	VA1	21:52:30:19	22:19:18:13	00:26:47:18	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		LEREV2	1_1	6/28/14	F	F009	CARD FORMATTED INCORRECTLY	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F9/Clip/C010C001_140628IE/C010C001_140628IE.mxf	0	38586	MS TO MCU LE REVE: DANCERS AND AUDIENCE	48	VT068
PANA_CHART-1F	E001C001_1406235B	VA1	00:00:06:13	00:00:14:23	00:00:08:10	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		PANA_CHART	1	6/28/14	F	F010	CARD FORMATTED INCORRECTLY	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F10/Clip/E001C001_1406235B/E001C001_1406235B.mxf	0	202	PANAVISION CHART	48	VT068
PANA_CHART-2F	E001C002_1406230J	VA1	00:00:14:23	00:00:46:11	00:00:31:12	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		PANA_CHART	2	6/28/14	F	F010	CARD FORMATTED INCORRECTLY	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F10/Clip/E001C002_1406230J/E001C002_1406230J.mxf	0	756	PANAVISION CHART	48	VT068
LEREV2-2F	E001C003_140628BT	VA1	22:19:38:23	22:47:47:22	00:28:08:23	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		LEREV2	2	6/28/14	F	F010	CARD FORMATTED INCORRECTLY	628	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F10/Clip/E001C003_140628BT/E001C003_140628BT.mxf	0	40535	MS LA REVE: DANCERS AND AUDIENCE	48	VT068
F010-1NGF	E001C004_14062825	VA1	22:47:52:04	22:47:57:23	00:00:05:19	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		F010	1NG	6/28/14	F	F010	MIS-FIRE	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F10/Clip/E001C004_14062825/E001C004_14062825.mxf	0	139	FALSE START	48	VT068
PANA_CHART-3F	G001C001_140623M5	VA1	00:28:27:22	00:28:38:15	00:00:10:17	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		PANA_CHART	3	6/28/14	F	F011	CARD FORMATTED INCORRECTLY	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F11/Clip/G001C001_140623M5/G001C001_140623M5.mxf	0	257	PANAVISION CHART	48	VT068
LEREV2-3F	G001C002_140628DJ	VA1	22:48:14:23	22:53:22:17	00:05:07:18	(0.98971 0.98971 0.98971)(0.01028 0.01028 0.01028)(1.0 1.0 1.0)		LEREV2	3	6/28/14	F	F011	CARD FORMATTED INCORRECTLY	48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_A/D48_062814/F11/Clip/G001C002_140628DJ/G001C002_140628DJ.mxf	0	7386	"MS LA REVE: DANCERS AND AUDIENCE, UP TO END OF SHOW"	48	VT068
